iter	Passed	Remaining
401	15433	22958
402	15474	22923
403	15511	22883
404	15551	22847
405	15565	22773
406	15605	22737
407	15620	22664
408	15639	22599
409	15678	22561
410	15704	22505
411	15744	22469
412	15783	22433
413	15803	22369
414	15841	22331
415	15880	22294
416	15921	22259
417	15959	22221
418	15998	22184
419	16046	22158
420	16087	22125
421	16127	22089
422	16171	22059
423	16209	22020
424	16249	21984
425	16289	21948
426	16330	21914
427	16369	21877
428	16409	21841
429	16449	21805
430	16489	21769
431	16517	21717
432	16555	21678
433	16570	21610
434	16591	21549
435	16618	21497
436	16639	21436
437	16653	21368
438	16673	21306
439	16687	21238
440	16706	21177
441	16745	21139
442	16753	21065
443	16793	21029
444	16833	20994
445	16873	20959
446	16888	20892
447	16931	20862
448	16966	20821
449	17006	20785
450	17049	20753
451	17090	20720
452	17114	20666
453	17153	20629
454	17194	20595
455	17233	20559
456	17274	20524
457	17316	20492
458	17355	20456
459	17406	20433
460	17448	20400
461	17490	20368
462	17529	20331
463	17569	20295
464	17608	20259
465	17635	20209
466	17674	20172
467	17713	20136
468	17753	20100
469	17794	20065
470	17833	20030
471	17874	19994
472	17914	19959
473	17953	19923
474	17969	19861
475	17991	19806
476	18030	19768
477	18070	19734
478	18110	19698
479	18137	19648
480	18151	19585
481	18190	19548
482	18229	19512
483	18250	19457
484	18289	19421
485	18330	19386
486	18351	19331
487	18365	19268
488	18404	19232
489	18444	19197
490	18459	19136
491	18498	19100
492	18539	19065
493	18553	19004
494	18593	18968
495	18633	18934
496	18673	18899
497	18714	18864
498	18754	18829
499	18794	18794
500	18837	18762
501	18877	18727
502	18918	18692
503	18957	18656
504	18996	18620
505	19040	18589
506	19055	18529
507	19094	18493
508	19144	18467
509	19184	18432
510	19199	18373
511	19238	18336
512	19278	18301
513	19322	18269
514	19361	18233
515	19400	18197
516	19415	18138
517	19452	18100
518	19473	18047
519	19495	17995
520	19533	17959
521	19573	17923
522	19614	17889
523	19629	17831
524	19667	17794
525	19708	17760
526	19723	17702
527	19762	17666
528	19789	17620
529	19830	17585
530	19845	17528
531	19859	17470
532	19898	17434
533	19938	17399
534	19978	17364
535	20018	17329
536	20063	17298
537	20102	17262
538	20141	17226
539	20181	17191
540	20196	17135
541	20216	17083
542	20248	17041
543	20280	16999
544	20319	16964
545	20347	16918
546	20386	16883
547	20426	16847
548	20464	16811
549	20486	16761
550	20512	16715
551	20552	16680
552	20593	16645
553	20614	16595
554	20628	16539
555	20667	16504
556	20705	16468
557	20746	16433
558	20779	16393
559	20819	16358
560	20859	16323
561	20900	16288
562	20939	16253
563	20954	16198
564	20993	16163
565	21032	16127
566	21076	16095
567	21116	16060
568	21156	16025
569	21197	15990
570	21212	15937
571	21226	15882
572	21264	15846
573	21304	15811
574	21319	15757
575	21358	15721
576	21397	15686
577	21418	15637
578	21457	15602
579	21472	15549
580	21511	15513
581	21551	15478
582	21578	15434
583	21618	15399
584	21639	15350
585	21670	15309
586	21710	15274
587	21749	15239
588	21765	15187
589	21804	15151
590	21818	15099
591	21839	15051
592	21877	15015
593	21917	14980
594	21943	14936
595	21957	14884
596	21965	14827
597	22006	14793
598	22021	14742
599	22062	14708
600	22078	14657
601	22118	14623
602	22159	14588
603	22197	14553
604	22237	14518
605	22276	14483
606	22317	14449
607	22338	14402
608	22378	14367
609	22398	14320
610	22440	14287
611	22456	14237
612	22496	14202
613	22537	14168
614	22576	14133
615	22618	14099
616	22657	14064
617	22671	14014
618	22711	13979
